record_id	qualifying_dimension_codes
251	LD TT ENV FL FA PSR REL COA MC RR VEC BH NE
252	LD TT ENV FL FA PSR REL OP COA RR VEC BH NE
253	LD TT PSR REL ELE COA FGK DMM VEC BH NE
254	LD TT ENV PSR REL ELE FGK DMM VEC BH NE
255	LD TT ENV FA PSR REL ELE COA FGK DMM VEC BH NE
256	LD TT ENV FA PSR REL ELE OP MC MT SBE FGK RR DMM KT VEC NE
257	LD TT ENV FA PSR REL OP FS MC WW SBE ECO CSG KT VEC BH NE
258	LD TT ENV FL FA PSR REL OP FS MC WW ECO CSG VEC BH NE
259	LD TT ENV FA PSR REL ELE MC WW MT CSG DMM AMP VEC BH
260	LD TT ENV SWT FL FA PSR REL ELE FS COA MC WW MT ECO CSG FGK RR DMM AMP VEC BH NE
261	LD TT ENV FL FA PSR REL ELE FS COA MC WW SBE ECO POL CSG FGK RR DMM VEC NE
262	LD TT ENV FA PSR REL FS MC WW MT ECO CSG VEC NE
263	LD TT FA PSR REL ELE MC WW MT CSG DMM AMP VEC BH
264	LD TT ENV FL FA PSR REL ELE COA MC WW MT ECO CSG DMM AMP KT VEC NE
265	LD TT ENV FL FA PSR REL ELE COA MC WW ECO POL CSG DMM AMP VEC NE
266	LD TT ENV SWT FL FA PSR REL ELE OP FS SBE ECO POL CSG KT VEC BH NE
267	LD
268	LD
269	LD TT ENV FL FA PSR REL ELE FS COA MC WW CSG AMP VEC BH NE
270	LD TT SWT FA PSR REL ELE MC WW MT POL FGK DMM AMP VEC BH NE
271	LD TT ENV FL FA PSR REL ELE COA MC WW FGK DMM VEC BH NE
272	LD TT ENV FL PSR REL COA MC WW SBE POL FGK DMM VEC NE
273	LD TT ENV FA PSR REL ELE MT FGK DMM VEC NE
274	LD TT FA PSR REL COA MC WW MT VEC BH NE
275	LD TT FA PSR REL COA MC WW POL FGK VEC BH NE
276	LD TT PSR REL ELE FS CSG FGK VEC BH NE
277	LD TT ENV SWT FA PSR REL ELE WW FGK DMM VEC BH NE
278	LD TT PSR REL ELE MC WW FGK DMM VEC BH NE
279	LD TT FA PSR REL ELE COA MC WW CSG FGK DMM AMP VEC BH NE
280	LD TT SWT FL FA PSR REL ELE FS COA MC FGK RR DMM AMP KT VEC BH NE
281	LD TT FL PSR REL ELE MC SBE POL RR AMP KT VEC BH NE
282	LD PSR REL ELE MC WW DMM AMP VEC BH NE
283	LD TT ENV FL FA PSR REL ELE COA MC WW POL CSG FGK DMM VEC BH NE
284	LD TT PSR REL ELE COA MC WW POL CSG VEC NE
285	LD TT ENV PSR REL ELE MC WW SBE ECO POL CSG AMP VEC BH NE
286	LD TT FA PSR REL COA MC CSG FGK DMM VEC BH NE
287	LD TT ENV SWT FA PSR REL ELE MC WW SBE POL CSG FGK RR AMP VEC BH NE
288	LD TT FA PSR REL ELE MC WW CSG DMM AMP VEC BH NE
289	LD PSR REL OP MC WW ECO CSG AMP VEC NE
290	LD TT FA PSR REL MC WW MT POL FGK KT VEC DMM NE
291	LD TT FA PSR REL ELE COA MC WW CSG FGK DMM AMP VEC BH NE
292	LD TT PSR REL FS MC WW POL CSG VEC NE
293	LD TT FA PSR REL ELE OP COA MC WW POL CSG FGK AMP VEC NE
294	LD TT ENV SWT PSR REL ELE MC WW POL FGK RR DMM VEC NE
295	LD TT ENV PSR REL ELE MC WW FGK DMM VEC BH NE
296	LD TT FL PSR REL FS MC MT SBE RR AMP KT VEC BH NE
297	LD TT ENV FL FA PSR REL ELE OP FS MC WW SBE ECO CSG VEC BH NE
298	LD PSR REL ELE FS MC WW SBE POL VEC NE
299	LD ENV FA PSR REL OP FS MC WW MT SBE POL FGK RR VEC NE
300	LD TT PSR REL ELE MC WW MT SBE FGK VEC NE
