record_id	qualifying_dimension_codes
151	LD TT ENV SWT FL FA PSR REL COA MC ECO POL CSG FGK AMP VEC NE
152	LD TT ENV FL FA PSR REL OP FS COA MC WW ECO POL CSG AMP KT VEC NE
153	LD TT ENV SWT FL FA PSR REL ELE COA MC ECO POL CSG AMP VEC BH NE
154	LD TT ENV PSR REL ELE WW ECO POL CSG AMP VEC NE
155	LD TT ENV FL PSR REL ELE MC ECO POL CSG AMP VEC BH NE
156	LD TT ENV PSR REL ECO POL CSG VEC NE
157	LD TT ENV SWT FA PSR REL ELE MC WW POL CSG VEC NE
158	LD TT ENV FL FA PSR REL ELE COA MC WW MT ECO POL CSG AMP VEC NE TIR
159	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC ECO POL CSG FGK AMP VEC BH NE
160	LD TT ENV SWT PSR REL ELE FS COA MC ECO POL CSG FGK AMP VEC BH NE
161	LD TT ENV SWT FA PSR REL ELE MC WW MT SBE ECO POL FGK AMP VEC BH NE
162	LD TT FA PSR REL ELE MC SBE ECO POL CSG AMP VEC NE
163	LD TT PSR REL ELE FS ECO POL CSG FGK AMP VEC NE
164	LD TT FL PSR REL ELE FS MC ECO POL CSG FGK AMP VEC BH NE TIR
165	LD TT FA PSR REL ELE MC WW ECO POL CSG DMM AMP VEC BH NE
166	LD TT ENV SWT FA PSR REL FS COA MC POL CSG FGK RR KT VEC NE
167	LD TT PSR REL ELE WW POL VEC BH NE
168	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC WW MT SBE ECO POL CSG AMP KT VEC NE
169	LD TT ENV FL PSR REL ELE MC WW POL CSG VEC BH NE
170	LD TT ENV FL FA PSR REL OP FS COA MC WW SBE ECO POL CSG AMP KT VEC BH NE
171	LD TT PSR REL ELE OP FS MC ECO POL VEC NE
172	LD TT ENV SWT FL PSR REL OP FS COA MC WW ECO POL CSG AMP VEC NE
173	LD TT ENV SWT FA PSR REL ELE FS SBE ECO POL CSG FGK BH VEC NE
174	LD TT ENV SWT PSR REL ELE MC WW SBE POL RR DMM VEC NE TIR
175	LD TT ENV PSR REL ELE MC MT POL DMM VEC NE
176	LD TT ENV FL FA PSR REL ELE OP FS COA MC POL FGK AMP VEC NE TIR
177	LD TT ENV SWT FL FA PSR REL OP FS MC WW SBE ECO POL CSG KT VEC NE
178	LD TT ENV FA PSR REL ELE FS MC WW MT SBE ECO POL CSG VEC NE
179	LD TT FA PSR REL ELE MC WW POL CSG AMP KT VEC NE
180	LD TT FL PSR REL ELE OP FS MC WW ECO POL CSG AMP KT VEC BH NE
181	LD TT ENV FL FA PSR REL ELE FS MC WW SBE ECO POL FGK VEC NE
182	LD TT PSR REL ELE FS RR VEC BH NE
183	LD TT PSR REL ECO POL CSG FGK KT VEC NE
184	LD TT ENV FA PSR REL OP FS ECO POL KT VEC NE
185	LD TT PSR REL MC MT POL KT VEC BH NE
186	LD TT ENV PSR REL FS POL VEC BH NE
187	LD TT ENV PSR CSG VEC NE
188	LD TT PSR REL ELE FS ECO FGK VEC BH NE
189	LD TT SWT PSR REL ELE OP FS COA ECO POL CSG VEC BH NE
190	LD TT ENV FA PSR REL ELE OP FS VEC BH NE
191	LD TT PSR REL ELE SBE POL CSG FGK KT VEC BH NE
192	LD TT ENV SWT PSR REL ELE MT DMM KT VEC BH NE
193	LD TT FA PSR REL ELE FGK VEC BH NE
194	LD PSR REL ELE COA MC FGK DMM AMP VEC BH
195	LD PSR REL ELE MC RR DMM VEC BH NE
196	LD TT SWT PSR REL ELE SBE ECO POL FGK VEC BH NE
197	LD TT ENV FL FA PSR REL ELE OP FS MC WW MT SBE ECO POL CSG AMP KT VEC NE
198	LD TT ENV PSR REL ELE COA MC WW MT SBE ECO POL FGK RR VEC NE
199	LD TT FL FA PSR REL ECO POL RR VEC NE
200	LD
