record_id	qualifying_dimension_codes
051	LD TT ENV PSR REL ELE WW POL VEC NE
052	LD TT ENV FL FA PSR REL ELE FS MC WW MT POL FGK RR DMM VEC BH NE
053	LD TT ENV PSR REL ELE COA MC MT POL FGK AMP KT VEC NE
054	LD TT ENV FA PSR REL ELE OP COA MC MT SBE ECO POL CSG FGK VEC NE
055	LD TT ENV SWT FA PSR REL ELE MC WW MT POL RR VEC NE TIR
056	LD TT ENV SWT FA PSR REL ELE FS COA MC MT ECO TRD POL FGK RR VEC NE TIR
057	LD TT ENV FL PSR REL ELE OP MC WW SBE POL VEC NE
058	LD TT ENV FL PSR REL ELE FS COA MC WW POL TRD CSG RR VEC NE TIR
059	LD TT SWT PSR REL ELE COA POL VEC NE
060	LD TT ENV SWT PSR REL COA MC MT ECO TRD POL CSG AMP BH NE
061	LD TT ENV FL FA PSR REL OP FS MC WW MT ECO POL CSG FGK VEC BH NE
062	LD TT ENV FA PSR REL ELE FS MC WW MT POL FGK RR DMM AMP VEC BH NE
063	LD TT ENV FL FA PSR REL ELE MC WW MT POL FGK DMM BH NE
064	LD TT ENV FA PSR REL ELE FS COA MC WW MT ECO POL CSG FGK AMP VEC NE
065	LD TT ENV SWT PSR REL ELE OP MC POL CSG DMM AMP VEC BH NE
066	LD TT ENV PSR REL ELE MT POL DMM VEC NE
067	LD TT ENV SWT FA PSR REL ELE COA MC MT SBE ECO POL FGK VEC NE
068	LD TT ENV FA PSR REL ELE OP COA MC WW MT SBE ECO POL CSG FGK AMP VEC BH NE
069	LD TT ENV FL PSR REL ELE FS COA MC WW MT SBE ECO POL CSG AMP VEC BH NE
070	LD TT ENV SWT FL FA PSR REL ELE FS COA MC SBE ECO POL CSG AMP VEC NE
071	LD TT PSR REL ELE MC WW MT SBE POL FGK KT VEC NE
072	LD TT FA PSR REL ELE MC WW MT POL CSG AMP KT VEC NE
073	LD TT FA PSR REL ELE WW POL FGK VEC BH NE
074	LD TT PSR REL ELE FS WW POL FGK VEC BH NE TIR
075	LD TT ENV SWT PSR REL ELE POL FGK VEC NE
076	LD TT FL PSR REL ELE COA MC WW POL FGK AMP VEC NE
077	LD TT FL PSR REL ELE COA MC WW MT POL FGK VEC BH NE
078	LD TT PSR REL ELE COA MC WW POL FGK AMP VEC NE
079	LD TT ENV SWT FL FA PSR ELE MC WW SBE POL AMP VEC NE
080	LD TT ENV FA PSR REL ELE FS WW POL VEC BH NE
081	LD TT SWT FA PSR REL ELE COA WW POL VEC NE
082	LD TT SWT PSR REL OP MC WW SBE POL CSG KT NE
083	LD TT PSR REL ELE COA FGK VEC BH NE
084	LD TT PSR REL ELE FS WW SBE CSG VEC BH NE
085	LD TT PSR REL ELE MC SBE FGK AMP VEC NE
086	LD TT ENV FA PSR REL ELE SBE FGK WW VEC BH NE
087	LD TT PSR REL OP MC WW POL KT VEC NE
088	LD TT PSR REL COA MC WW POL CSG VEC BH NE
089	LD TT PSR REL ELE COA MC WW POL CSG FGK AMP VEC NE
090	LD TT ENV SWT FA PSR REL ELE MC WW MT POL CSG VEC BH NE
091	LD TT ENV FL PSR REL ELE FS COA MC WW POL RR VEC BH NE TIR
092	LD TT PSR REL ELE WW SBE POL FGK AMP VEC NE
093	LD TT FA PSR REL ELE MC WW POL CSG RR DMM VEC BH NE
094	LD TT ENV FA PSR REL ELE POL CSG VEC NE
095	LD TT PSR REL FS COA MC WW SBE ECO POL CSG VEC NE
096	LD TT ENV FA PSR REL ELE FS SBE POL FGK VEC BH NE
097	LD TT ENV FA PSR REL ELE COA MC WW MT SBE ECO POL FGK VEC BH NE
098	LD TT ENV FA PSR REL ELE MC WW MT SBE POL FGK RR DMM VEC BH NE
099	LD TT ENV FL PSR REL OP MC WW SBE ECO POL CSG RR AMP KT VEC NE TIR
100	LD TT FL FA PSR REL ELE COA MC WW FGK VEC BH NE
