record_id	qualifying_dimension_codes
001	LD FL FA PSR COA MC MT CSG FGK RR KT VEC BH NE
002	LD TT ENV SWT FA PSR REL FS MC WW MT POL CSG FGK RR DMM KT VEC BH NE TIR
003	LD TT ENV FL FA PSR REL COA MC WW MT SBE ECO POL FGK DMM VEC BH NE
004	LD TT ENV FA PSR REL ELE MC WW MT SBE POL DMM VEC BH NE
005	LD TT ENV FA PSR REL ELE POL FGK RR VEC BH NE
006	LD TT ENV SWT FA PSR REL COA MC WW MT SBE ECO POL CSG FGK RR AMP VEC BH NE
007	LD TT ENV FA PSR REL ELE OP MC WW MT SBE ECO POL VEC BH NE
008	LD TT ENV SWT PSR ELE POL VEC NE
009	LD TT PSR REL ELE COA MC WW MT SBE ECO POL CSG FGK RR DMM VEC BH NE
010	LD TT ENV FA PSR REL ELE FS POL FGK VEC BH NE
011	LD TT ENV FL PSR REL ELE COA MC WW SBE ECO POL CSG FGK AMP VEC NE
012	LD TT PSR REL ELE MC WW MT ECO POL CSG AMP VEC NE
013	LD TT ENV SWT FA PSR REL OP FS MC WW MT ECO POL BH NE
014	LD TT ENV FA PSR REL OP FS COA MC WW MT SBE ECO POL CSG AMP VEC BH NE
015	LD TT ENV FL FA PSR REL OP COA MC WW MT SBE ECO POL CSG RR AMP KT VEC NE
016	LD TT ENV SWT FL FA PSR REL OP MC WW MT SBE POL RR VEC NE
017	LD TT ENV FL FA PSR REL OP MC WW MT SBE ECO POL TRD VEC NE
018	LD TT ENV FL FA PSR REL OP FS MC SBE ECO POL VEC BH NE
019	LD TT ENV FA PSR REL ELE MC WW POL FGK DMM VEC BH NE
020	LD TT ENV SWT FA PSR REL OP MC WW SBE POL FGK VEC NE
021	LD TT ENV FL PSR REL OP MC WW SBE POL CSG AMP KT VEC NE
022	LD TT ENV SWT FL FA PSR REL OP FS COA MC WW MT SBE ECO POL CSG AMP VEC NE
023	LD TT ENV FL FA PSR ELE OP MC WW SBE POL RR DMM VEC NE
024	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC MT SBE ECO POL CSG FGK AMP VEC NE
025	LD TT SWT PSR REL ELE COA WW POL FGK DMM BH NE
026	LD TT ENV PSR REL ELE MC WW MT POL RR DMM KT VEC BH NE
027	LD TT FL PSR REL ELE MC POL DMM KT VEC BH NE TIR
028	LD TT ENV FL FA PSR REL ELE OP MC POL CSG AMP KT VEC BH NE
029	LD TT ENV FL FA PSR REL ELE OP FS COA MC SBE ECO POL CSG AMP VEC NE
030	LD TT ENV SWT PSR REL MT TRD POL AMP KT VEC NE
031	LD TT ENV SWT FA PSR REL ELE MC WW MT SBE POL VEC NE
032	LD TT ENV PSR REL ELE COA MC MT SBE ECO POL CSG AMP VEC NE
033	LD TT ENV SWT FA PSR REL ELE OP FS MC WW MT SBE ECO POL CSG FGK AMP KT VEC NE
034	LD TT ENV SWT FA PSR REL ELE FS MC ECO POL CSG FGK AMP KT VEC BH NE
035	LD TT ENV SWT FL FA PSR REL ELE OP MC WW MT ECO POL CSG VEC NE
036	LD TT ENV FL PSR REL ELE COA MC WW SBE POL FGK KT NE
037	LD TT ENV SWT FA PSR REL ELE MC WW SBE POL DMM NE
038	LD TT SWT FA PSR REL ELE MC WW MT ECO POL VEC NE
039	LD TT ENV FA PSR REL ELE COA MC WW MT SBE ECO POL VEC NE
040	LD TT FA PSR REL ELE COA MC WW SBE ECO POL AMP VEC NE
041	LD TT ENV SWT FA PSR REL ELE COA MC WW MT SBE POL FGK BH NE
042	LD TT ENV FA PSR REL ELE MC WW POL FGK VEC NE
043	LD TT ENV SWT FA PSR REL ELE MT POL CSG FGK RR VEC NE
044	LD TT FA PSR REL ELE FS MC WW SBE ECO POL FGK VEC BH NE
045	LD TT FL PSR REL ELE COA MC WW MT POL FGK VEC NE
046	LD TT PSR REL ELE FA POL FGK VEC BH NE
047	LD TT ENV PSR REL ELE ECO POL CSG AMP VEC NE
048	LD TT ENV FL PSR REL ELE FS POL CSG AMP NE
049	LD TT ENV SWT FA PSR REL OP WW POL AMP NE
050	LD TT FA PSR REL ELE COA MC WW POL CSG AMP KT VEC BH NE
