record_id	qualifying_dimension_codes
301	LD TT SWT FA PSR REL ELE MC WW MT SBE POL CSG AMP KT VEC NE
302	LD TT ENV SWT FL FA PSR REL ELE COA MC WW MT SBE CSG AMP VEC NE
303	LD TT ENV FA PSR REL ELE MC WW MT POL VEC BH NE
304	LD TT SWT PSR REL ELE FS COA MC WW MT SBE POL FGK AMP VEC BH NE
305	LD TT SWT PSR REL MC WW MT SBE POL CSG KT VEC NE
306	LD TT ENV PSR REL ELE SBE CSG FGK RR DMM VEC NE
307	LD TT ENV SWT FL FA PSR REL ELE FS MC WW MT POL CSG FGK DMM VEC BH NE
308	LD TT FA PSR REL ELE MC WW POL FGK AMP VEC BH NE
309	LD TT FA PSR REL ELE MC WW SBE CSG VEC NE
310	LD TT FA PSR REL ELE FS MC WW FGK DMM VEC BH NE
311	LD TT PSR REL OP COA MC WW SBE CSG AMP VEC BH NE
312	LD PSR REL OP MC WW POL CSG FGK KT VEC BH
313	LD TT ENV FA PSR REL MC MT ECO TRD POL CSG VEC NE
314	LD TT ENV FL PSR REL ELE MC WW SBE POL CSG FGK DMM VEC NE
315	LD TT ENV PSR REL FS MC ECO POL VEC NE
316	LD TT ENV FA PSR REL ELE FS COA MC WW ECO TRD POL CSG AMP VEC NE
317	LD TT PSR REL ELE FS MC ECO POL VEC NE
318	LD TT ENV SWT FL FA PSR REL ELE OP FS MC SBE ECO POL FGK AMP VEC BH NE
319	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC SBE ECO POL CSG FGK AMP VEC NE
320	LD TT ENV FL FA PSR REL ELE OP FS MC SBE ECO CSG FGK AMP VEC BH NE
321	LD TT ENV SWT FL FA PSR REL ELE OP FS SBE ECO POL AMP VEC BH NE
322	LD TT ENV FL FA PSR REL OP FS MC WW SBE ECO POL CSG FGK KT VEC NE
323	LD TT ENV FA PSR REL ELE MC WW VEC NE
324	LD TT ENV FL FA PSR REL OP MC WW SBE POL CSG FGK AMP KT VEC NE
325	LD TT ENV SWT FA PSR REL ELE OP FS MC WW SBE CSG FGK KT VEC BH NE
326	LD TT ENV FA PSR REL ELE OP FS COA MC WW SBE ECO CSG FGK AMP VEC NE
327	LD TT ENV PSR REL ELE OP FS ECO POL CSG AMP VEC NE
328	LD TT ENV FL FA PSR REL ELE OP FS MC SBE ECO POL CSG AMP VEC NE
329	LD TT ENV FA PSR REL FS MC SBE ECO CSG RR DMM VEC NE
330	LD TT ENV PSR REL ELE MC WW SBE ECO POL CSG AMP VEC NE
331	LD TT ENV SWT PSR REL ELE OP FS MC SBE ECO POL CSG FGK RR KT VEC NE
332	LD TT ENV FA PSR REL COA MC WW SBE POL FGK AMP VEC NE
333	LD TT ENV FA PSR REL ELE OP FS MC MT SBE ECO POL CSG FGK AMP VEC NE
334	LD TT ENV FA PSR REL ELE FS COA MC ECO POL CSG FGK AMP VEC NE
335	LD TT ENV FL FA PSR REL OP FS MC WW CSG RR DMM AMP VEC NE
336	LD TT ENV FL FA PSR REL ELE COA MC WW SBE POL FGK AMP VEC BH NE
337	LD TT ENV FL FA PSR REL ELE OP FS COA MC WW SBE ECO POL FGK VEC BH NE
338	LD TT ENV FL FA PSR REL ELE COA MC WW SBE ECO POL FGK VEC NE
339	LD TT ENV FL FA PSR REL ELE OP COA MC POL CSG FGK VEC BH NE
340	LD TT ENV FL FA PSR REL ELE COA MC WW POL FGK VEC NE
341	LD TT ENV FL FA PSR REL ELE COA MC WW SBE POL FGK DMM VEC BH NE
342	LD TT ENV FA PSR REL ELE COA MC WW POL FGK DMM VEC BH NE
343	LD TT ENV FL FA PSR REL OP FS MC WW MT SBE ECO TRD POL FGK VEC NE
344	LD TT ENV FL FA PSR REL ELE OP COA MC WW SBE ECO POL FGK VEC NE
345	LD TT ENV FA PSR REL ELE COA MC WW MT SBE ECO POL CSG FGK DMM VEC BH NE
346	LD TT PSR REL ELE WW POL CSG FGK DMM VEC NE
347	LD TT ENV FL FA PSR REL ELE COA MC WW SBE POL FGK VEC BH NE
348	LD TT ENV FL FA PSR REL OP FS MC WW MT SBE ECO CSG FGK AMP VEC NE
349	LD TT PSR REL ELE MC WW POL FGK VEC BH NE
350	LD TT ENV SWT PSR REL ELE COA MC WW SBE POL FGK AMP VEC BH NE
