record_id	qualifying_dimension_codes
201	LD TT ENV PSR REL ELE MC WW SBE POL CSG FGK AMP KT VEC NE
202	LD TT ENV FL FA PSR REL ELE OP COA MC SBE ECO POL CSG FGK AMP KT VEC NE TIR
203	LD TT ENV SWT PSR REL ELE SBE ECO POL CSG AMP VEC BH NE
204	LD TT ENV SWT FA PSR REL ELE FS ECO POL VEC NE
205	LD TT ENV SWT FA PSR REL OP MC WW MT ECO POL CSG VEC BH NE
206	LD TT ENV PSR REL ELE OP FS MC ECO POL CSG AMP KT VEC NE
207	LD TT PSR REL ELE FS ECO POL VEC BH NE
208	LD TT ENV PSR REL ELE FS ECO TRD POL CSG AMP VEC NE
209	LD TT ENV SWT FL FA PSR REL ELE OP COA MC WW SBE ECO POL CSG AMP VEC BH NE
210	LD TT PSR REL ELE SBE ECO POL FGK DMM VEC BH NE
211	LD TT ENV SWT FA PSR REL ELE FS MC WW SBE ECO POL CSG FGK AMP VEC BH NE
212	LD TT PSR REL ELE OP FS SBE ECO POL CSG FGK AMP VEC NE
213	LD TT PSR REL ELE MC WW POL FGK RR DMM KT VEC BH NE
214	LD TT FA PSR REL ELE OP RR DMM KT VEC BH NE
215	LD TT ENV FL PSR REL ELE OP FS CSG FGK VEC NE
216	LD TT PSR REL ELE DMM KT VEC NE
217	LD TT PSR REL ELE POL DMM AMP KT VEC NE
218	LD TT ENV PSR REL COA MC ECO DMM VEC NE
219	LD TT PSR REL ELE DMM NE
220	LD TT FA PSR REL ELE FS MC MT SBE POL DMM VEC NE
221	LD TT PSR REL ELE ECO POL CSG FGK DMM AMP KT VEC NE
222	LD TT PSR REL ELE COA FGK DMM VEC BH NE
223	LD TT PSR REL ELE SBE DMM VEC BH NE
224	LD TT ENV SWT FL FA PSR REL ELE OP FS COA MC WW SBE POL CSG FGK RR DMM AMP KT VEC BH NE
225	LD TT ENV SWT FL PSR REL FS MC WW SBE POL CSG DMM AMP VEC NE
226	LD TT PSR REL ELE MC WW MT POL RR DMM AMP VEC NE
227	LD TT FA PSR REL ELE COA MC WW MT POL RR DMM VEC BH NE
228	LD TT ENV SWT PSR REL OP MC POL RR DMM AMP KT VEC NE BH
229	LD TT ENV SWT FA PSR REL ELE MC WW MT POL FGK RR DMM AMP KT VEC BH NE
230	LD TT ENV FA PSR REL ELE OP FS WW ECO POL CSG FGK RR DMM VEC BH NE
231	LD TT ENV SWT FL PSR REL OP MC RR DMM VEC NE
232	LD TT ENV SWT FA PSR REL ELE MC POL RR DMM VEC NE
233	LD TT SWT FA PSR REL ELE COA MC WW POL CSG DMM AMP VEC BH NE
234	LD TT PSR REL ELE FS MC FGK RR DMM VEC NE
235	LD TT ENV FL PSR REL ELE FS MC WW ECO POL CSG DMM AMP VEC BH NE
236	LD TT ENV FL PSR REL ELE CSG FGK RR DMM VEC NE TIR
237	LD TT ENV SWT FA PSR REL ELE MC WW ECO POL CSG FGK DMM AMP VEC BH NE
238	LD TT ENV SWT FA PSR REL ELE COA MC POL CSG FGK RR DMM AMP VEC BH NE
239	LD TT ENV FL FA PSR REL ELE FS COA MC WW MT SBE ECO POL CSG FGK DMM AMP VEC BH NE
240	LD TT ENV FA PSR REL ELE FS COA MC MT SBE ECO POL CSG FGK RR DMM AMP VEC BH NE
241	LD TT PSR REL MC POL RR DMM AMP NE
242	LD TT ENV FL PSR REL ELE COA MC WW CSG FGK DMM AMP VEC NE
243	LD TT ENV SWT FL PSR REL ELE MC FGK VEC BH NE
244	LD PSR REL COA CSG AMP
245	LD TT PSR REL ELE MC FGK RR DMM VEC BH NE
246	LD TT ENV FL PSR REL ELE FS MC FGK RR DMM VEC BH NE
247	LD TT ENV FA PSR REL ELE MC SBE CSG FGK RR DMM VEC BH NE
248	LD TT ENV SWT FL PSR REL ELE FS COA FGK DMM VEC BH NE
249	LD TT ENV FL FA PSR REL ELE OP FS MC FGK RR DMM AMP VEC BH NE TIR
250	LD TT PSR REL ELE FS COA MC SBE ECO CSG FGK RR DMM VEC BH NE
